,name,title,currency,lower_estimate,upper_estimate,actual_price
0,Joe Goode,CLOUD-PHOTOGRAPH TRIPTYCH,USD,"25,000","35,000",203000
2,Ed Ruscha,WORLD,USD,"100,000","150,000",149000
4,John Baldessari,"18TH AND HIGHLAND, NATIONAL CITY.",USD,"180,000","250,000",509000
6,John Baldessari,SKETCH FOR FRAGMENT A-3 #2,USD,"8,000","12,000",13750
8,John Baldessari,FRAGMENT ,USD,"25,000","35,000",68750
10,Vija Celmins,BURNING PLANE,USD,"900,000","1,200,000",3413000
12,Vija Celmins,CLOUDS NO. 2,USD,"400,000","600,000",1565000
14,Vija Celmins,PINK PEARL ERASER,USD,"180,000","250,000",1565000
16,Richard Pettibone,"FRANK STELLA, 'UNTITLED'",USD,"6,000","8,000",20000
18,Richard Pettibone,"ANDY WARHOL, 'FLOWERS'",USD,"8,000","12,000",62500
20,Richard Pettibone,"R LICHTENSTEIN, 'MASTERPIECE,' 1962",USD,"35,000","45,000",106250
22,Andy Warhol,MAO,USD,"600,000","800,000",677000
24,Jean-Michel Basquiat,HEAVYWEIGHT CROWN KING OF BOXING,USD,"200,000","300,000",341000
26,William Baziotes,VAMPIRE,USD,"40,000","60,000",100000
28,Robert Motherwell,MAN IN GREY,USD,"120,000","180,000",173000
30,Ad Reinhardt,UNTITLED,USD,"200,000","300,000",389000
32,Sam Francis,UNTITLED,USD,"5,000","7,000",5938
34,Sam Francis,UNTITLED,USD,"5,000","7,000",11250
36,Helen Frankenthaler,LANDSCAPE WITH DUNES,USD,"60,000","80,000",149000
38,John McLaughlin,#15,USD,"150,000","200,000",221000
40,John McLaughlin,UNTITLED,USD,"100,000","150,000",185000
42,John McLaughlin,UNTITLED,USD,"120,000","180,000",221000
44,John McLaughlin,UNTITLED,USD,"100,000","150,000",209000
46,John McLaughlin,UNTITLED,USD,"100,000","150,000",149000
48,Frank Stella,UNTITLED (STUDY FOR STACKS),USD,"6,000","8,000",15000
50,Carl Andre,SMALL EQUIVALENT II,USD,"50,000","70,000",118750
52,John McCracken,ARC,USD,"200,000","300,000",269000
54,Tony Berlant,BUTTERFLY PIE,USD,"5,000","7,000",8125
56,DeWain Valentine,UNTITLED,USD,"10,000","15,000",18750
58,DeWain Valentine,UNTITLED,USD,"20,000","30,000",43750
60,Billy Al Bengston,THE ALAMO - GREEN,USD,"3,000","5,000",10625
62,John McCracken,UNTITLED,USD,"3,000","5,000",6875
64,Norman Zammitt,HONEYCOMB 1,USD,"2,000","3,000",2250
66,Larry Bell,SMVD 67 (SMALL MIRAGE VAPOR DRAWING),USD,"1,000","1,500",5938
68,Norman Zammitt,BLUE BURNING II,USD,"3,000","5,000",7500
70,Edward Bereal,JUNKER JU,USD,"20,000","30,000",20000
72,Chris Burden,THE CHURCH OF HUMAN ENERGY,USD,"5,000","7,000",5000
74,Llyn Foulkes,UNTITLED,USD,"12,000","18,000",28125
76,Llyn Foulkes,BEREOL HILL,USD,"8,000","12,000",10000
78,Llyn Foulkes,UNTITLED (POEM),USD,"8,000","12,000",18750
80,Llyn Foulkes,UNTITLED,USD,"3,000","5,000",9375
82,Edward Kienholz,FOR $133.00,USD,"4,000","6,000",11250
84,Edward Kienholz,FOR TAPS AND DIES,USD,"4,000","6,000",12500
86,Wallace Berman,UNTITLED (SELF-PORTRAIT),USD,"3,000","5,000",8750
88,Wallace Berman,UNTITLED,USD,"3,000","5,000",20000
90,Wallace Berman,UNTITLED ,USD,"20,000","30,000",43750
92,George Herms,DOLLAR CLOCK,USD,"3,000","5,000",0
94,George Herms,A SLIGHT PAUSE,USD,"5,000","7,000",4688
96,Robert Dowd,VAN GOGH DOLLAR,USD,"2,500","3,500",18750
98,George Herms,ON BRINK OF CHAOS,USD,"15,000","20,000",15000
100,Edward Kienholz,ANIMAL TRAP,USD,"15,000","20,000",62500
102,Ed Ruscha,VOWEL #46 (O) - HARD LIGHT,USD,"10,000","15,000",20000
104,Tom Wesselmann,DRAWING FOR GINA'S HAND,USD,"4,000","6,000",6250
106,Claes Oldenburg,"STUDY FOR COLOSSAL MONUMENTS: LUNCH BOX CONTENTS ON THE ISLANDS OF THE UPPER BAY (BEDLOES, ELLIS, GOVERNOR)",USD,"35,000","45,000",0
108,Judy Chicago,EIGHT,USD,"3,000","5,000",7500
110,Emerson Woelffer,"STRADA NERO (FORIO D'ISCHIA, NAPOLI, ITALIA)",USD,"5,000","7,000",5000
112,Karl Stanley Benjamin,TG #18,USD,"25,000","35,000",28125
114,Alfred Leslie,UNTITLED,USD,"10,000","15,000",21250
116,Milton Resnick,BEDROOM,USD,"10,000","15,000",21250
118,Robert Irwin,LUCKY U,USD,"25,000","35,000",46875
120,John Altoon,UNTITLED,USD,"10,000","15,000",10000
122,Willem De Kooning,UNTITLED,USD,"10,000","15,000",31250
124,Sam Francis,UNTITLED,USD,"10,000","15,000",28125
126,Joseph Cornell,"UNTITLED (HÔTEL DE L'ÉTOILE, SUZANNE MILLER)",USD,"30,000","40,000",50000
128,David Salle,UNTITLED,USD,"8,000","12,000",8125
