actual_price,currency,name,title,lower_estimate,upper_estimate
203000,USD,Joe Goode,CLOUD-PHOTOGRAPH TRIPTYCH,"25,000","35,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
149000,USD,Ed Ruscha,WORLD,"100,000","150,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
509000,USD,John Baldessari,"18TH AND HIGHLAND, NATIONAL CITY.","180,000","250,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
13750,USD,John Baldessari,SKETCH FOR FRAGMENT A-3 #2,"8,000","12,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
68750,USD,John Baldessari,FRAGMENT ,"25,000","35,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
3413000,USD,Vija Celmins,BURNING PLANE,"900,000","1,200,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
1565000,USD,Vija Celmins,CLOUDS NO. 2,"400,000","600,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
1565000,USD,Vija Celmins,PINK PEARL ERASER,"180,000","250,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
20000,USD,Richard Pettibone,"FRANK STELLA, 'UNTITLED'","6,000","8,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
62500,USD,Richard Pettibone,"ANDY WARHOL, 'FLOWERS'","8,000","12,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
106250,USD,Richard Pettibone,"R LICHTENSTEIN, 'MASTERPIECE,' 1962","35,000","45,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
677000,USD,Andy Warhol,MAO,"600,000","800,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
341000,USD,Jean-Michel Basquiat,HEAVYWEIGHT CROWN KING OF BOXING,"200,000","300,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
100000,USD,William Baziotes,VAMPIRE,"40,000","60,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
173000,USD,Robert Motherwell,MAN IN GREY,"120,000","180,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
389000,USD,Ad Reinhardt,UNTITLED,"200,000","300,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
5938,USD,Sam Francis,UNTITLED,"5,000","7,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
11250,USD,Sam Francis,UNTITLED,"5,000","7,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
149000,USD,Helen Frankenthaler,LANDSCAPE WITH DUNES,"60,000","80,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
221000,USD,John McLaughlin,#15,"150,000","200,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
185000,USD,John McLaughlin,UNTITLED,"100,000","150,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
221000,USD,John McLaughlin,UNTITLED,"120,000","180,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
209000,USD,John McLaughlin,UNTITLED,"100,000","150,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
149000,USD,John McLaughlin,UNTITLED,"100,000","150,000"
actual_price,currency,name,title,lower_estimate,upper_estimate
